
code	|	name	|	preferred name	|	lineage
1+	|	Achlya	|	 	|	753482 219490 104425 104423 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Cladophialophora	|	 	|	82105 43219 34395 451870 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Chrysophaeum	|	 	|	2483199 54409 35675 2696291 33634 2698737 2759 131567 
1	|	Fusarium	|	 	|	5506 110618 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Amoebophrya	|	 	|	88551 88548 88547 2864 33630 2698737 2759 131567 
1	|	Aphanomyces	|	 	|	100860 4764 4763 4762 33634 2698737 2759 131567 
1	|	Bolivina	|	 	|	46083 46101 212511 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Puntigrus	|	 	|	1606679 2743705 7953 30727 7952 186627 186626 32519 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Diaporthe	|	 	|	36922 767018 5114 222544 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Globobulimina	|	 	|	212512 212504 212503 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Dermatophagoides	|	 	|	6953 474036 6952 83163 223472 6951 83137 6946 6933 6854 6843 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Pseudogymnoascus	|	 	|	78156 34379 221903 147548 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Pestalotiopsis	|	 	|	37840 1812776 37989 222545 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Lobosporangium	|	 	|	299330 4854 214503 2212732 1137986 1913637 112252 4751 33154 2759 131567 
1	|	Ogataea	|	 	|	461281 1156497 4892 4891 147537 716545 4890 451864 4751 33154 2759 131567 
1	|	Amorphotheca	|	 	|	5100 2907085 5178 147548 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Galdieria	|	 	|	83373 3039359 3039357 2797 2763 2759 131567 
1	|	Diaporthe	|	 	|	36922 767018 5114 222544 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1+	|	Rana	|	 	|	8399 8397 30352 8416 8342 41666 8292 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1+	|	Rana	|	 	|	121175 8399 8397 30352 8416 8342 41666 8292 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Polarella	|	 	|	89956 89955 89954 2864 33630 2698737 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Nothobranchius	|	 	|	28779 405002 45443 28738 1489913 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Hyaloperonospora	|	 	|	184462 4777 4776 4762 33634 2698737 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
